Available Drivers,Cancel Time,Order ID,Placed Time,Reject Time,Response Distance,Response Time,Service Type
39,,1,6/8/2018 8:01:22 AM,,4615,6/8/2018 8:01:46 AM,Van
68,,2,6/8/2018 8:01:23 AM,,4785,6/8/2018 8:01:56 AM,Van
10,,3,6/8/2018 8:06:39 AM,,15964,6/8/2018 8:07:05 AM,Van
76,,4,6/8/2018 8:14:00 AM,,2459,6/8/2018 8:14:09 AM,Van
98,,5,6/8/2018 8:16:00 AM,,5510,6/8/2018 8:16:21 AM,Van
135,6/8/2018 8:18:24 AM,6,6/8/2018 8:18:02 AM,,,,Van
20,,7,6/8/2018 8:20:43 AM,,1201,6/8/2018 8:20:54 AM,Van
32,,8,6/8/2018 8:24:46 AM,,2949,6/8/2018 8:25:10 AM,Van
13,6/8/2018 8:28:04 AM,9,6/8/2018 8:26:34 AM,,9835,6/8/2018 8:27:33 AM,Van
122,,10,6/8/2018 8:27:29 AM,,2904,6/8/2018 8:27:37 AM,Van
9,,11,6/8/2018 8:28:58 AM,,2113,6/8/2018 8:29:08 AM,Van
80,,12,6/8/2018 8:30:05 AM,,1969,6/8/2018 8:30:14 AM,Van
161,,13,6/8/2018 8:34:59 AM,,2236,6/8/2018 8:35:07 AM,Van
92,6/8/2018 8:37:35 AM,14,6/8/2018 8:37:15 AM,,2731,6/8/2018 8:37:22 AM,Van
28,,15,6/8/2018 8:38:28 AM,,3681,6/8/2018 8:38:38 AM,Van
97,,16,6/8/2018 8:45:50 AM,,1998,6/8/2018 8:45:56 AM,Van
208,,17,6/8/2018 8:47:31 AM,,5512,6/8/2018 8:47:50 AM,Van
109,,18,6/8/2018 8:48:43 AM,,3143,6/8/2018 8:49:07 AM,Van
109,,19,6/8/2018 8:51:48 AM,,5210,6/8/2018 8:51:55 AM,Van
11,,20,6/8/2018 9:00:40 AM,,756,6/8/2018 9:01:03 AM,Van
79,,21,6/8/2018 9:03:58 AM,,1688,6/8/2018 9:04:06 AM,Van
6,6/8/2018 9:09:59 AM,22,6/8/2018 9:04:43 AM,,,,Van
101,,23,6/8/2018 9:07:23 AM,,1664,6/8/2018 9:07:41 AM,Van
31,,24,6/8/2018 9:08:51 AM,,2893,6/8/2018 9:09:01 AM,Van
162,,25,6/8/2018 9:10:36 AM,,2343,6/8/2018 9:10:58 AM,Van
23,,26,6/8/2018 9:12:36 AM,,2048,6/8/2018 9:12:47 AM,Van
115,,27,6/8/2018 9:12:47 AM,,1874,6/8/2018 9:12:59 AM,Van
19,,28,6/8/2018 9:13:28 AM,,3369,6/8/2018 9:13:47 AM,Van
114,6/8/2018 9:15:32 AM,29,6/8/2018 9:13:42 AM,,557,6/8/2018 9:13:51 AM,Van
115,,30,6/8/2018 9:15:53 AM,,1909,6/8/2018 9:16:00 AM,Van
39,,31,6/8/2018 9:18:21 AM,,1548,6/8/2018 9:18:42 AM,Van
5,6/8/2018 9:33:24 AM,32,6/8/2018 9:21:44 AM,,,,Van
127,,33,6/8/2018 9:26:10 AM,,2954,6/8/2018 9:26:17 AM,Van
74,,34,6/8/2018 9:27:08 AM,,2863,6/8/2018 9:27:16 AM,Van
39,6/8/2018 9:35:01 AM,35,6/8/2018 9:34:03 AM,,6411,6/8/2018 9:34:53 AM,Van
6,,36,6/8/2018 9:34:41 AM,,4340,6/8/2018 9:35:25 AM,Van
5,6/8/2018 9:47:54 AM,37,6/8/2018 9:39:49 AM,,,,Van
7,,38,6/8/2018 9:40:31 AM,,6221,6/8/2018 9:41:11 AM,Van
132,,39,6/8/2018 9:47:24 AM,,1740,6/8/2018 9:47:45 AM,Van
5,,40,6/8/2018 9:51:35 AM,,3734,6/8/2018 9:54:30 AM,Van
209,,41,6/8/2018 9:53:22 AM,,2945,6/8/2018 9:53:29 AM,Van
113,,42,6/8/2018 9:56:32 AM,,1505,6/8/2018 9:56:41 AM,Van
144,,43,6/8/2018 9:56:52 AM,,1569,6/8/2018 9:56:59 AM,Van
139,,44,6/8/2018 9:58:36 AM,,1063,6/8/2018 9:58:44 AM,Van
139,,45,6/8/2018 10:01:23 AM,,2358,6/8/2018 10:01:31 AM,Van
118,6/8/2018 10:03:02 AM,46,6/8/2018 10:02:07 AM,,949,6/8/2018 10:02:15 AM,Van
182,,47,6/8/2018 10:04:12 AM,,464,6/8/2018 10:04:20 AM,Van
54,,48,6/8/2018 10:06:02 AM,,2135,6/8/2018 10:06:10 AM,Van
31,,49,6/8/2018 10:07:33 AM,,819,6/8/2018 10:07:42 AM,Van
19,,50,6/8/2018 10:07:58 AM,,2861,6/8/2018 10:08:16 AM,Van
42,,51,6/8/2018 10:08:18 AM,,1294,6/8/2018 10:08:40 AM,Van
50,,52,6/8/2018 10:08:41 AM,,3867,6/8/2018 10:09:03 AM,Van
111,,53,6/8/2018 10:08:53 AM,,2996,6/8/2018 10:09:07 AM,Van
52,,54,6/8/2018 10:10:16 AM,,4251,6/8/2018 10:10:51 AM,Van
33,,55,6/8/2018 10:11:08 AM,,6635,6/8/2018 10:11:49 AM,Motorcycle
2,,56,6/8/2018 10:12:56 AM,,2906,6/8/2018 10:14:11 AM,Van
113,,57,6/8/2018 10:14:46 AM,,3116,6/8/2018 10:14:55 AM,Van
36,,58,6/8/2018 10:22:17 AM,,4551,6/8/2018 10:22:41 AM,Motorcycle
16,,59,6/8/2018 10:24:30 AM,,3035,6/8/2018 10:24:53 AM,Van
42,,60,6/8/2018 10:25:06 AM,,795,6/8/2018 10:25:16 AM,Van
46,,61,6/8/2018 10:28:24 AM,,1970,6/8/2018 10:28:33 AM,Van
7,,62,6/8/2018 10:29:03 AM,,1986,6/8/2018 10:29:20 AM,Van
13,,63,6/8/2018 10:30:21 AM,,3721,6/8/2018 10:30:45 AM,Van
205,,64,6/8/2018 10:34:16 AM,,1868,6/8/2018 10:34:24 AM,Van
